iter	Logloss
0	0.6467333876
1	0.6311531932
2	0.615523646
3	0.6035919981
4	0.5680125325
5	0.5349068378
6	0.5152242413
7	0.5057466038
8	0.4859148401
9	0.4780883142
10	0.4628563282
11	0.4478943722
12	0.4421135141
13	0.4331971904
14	0.4216792621
15	0.4125459552
16	0.4058975057
17	0.3973928377
18	0.3912040744
19	0.3866240932
20	0.3811543418
21	0.3779199641
22	0.3592830053
23	0.3530710292
24	0.3481472515
25	0.3454594873
26	0.3431169975
27	0.3409385701
28	0.3386072146
29	0.3357925495
30	0.3338200283
31	0.3305701994
32	0.328088534
33	0.3262515766
34	0.323626082
35	0.3215957175
36	0.3197907301
37	0.3170690451
38	0.3154189539
39	0.3136593452
40	0.3124816255
41	0.3038661387
42	0.3023171781
43	0.3008719127
44	0.2993880669
45	0.2981341144
46	0.2971282346
47	0.2955851563
48	0.2943369194
49	0.2934290403
50	0.2925602391
51	0.2911148655
52	0.2899120961
53	0.2889759283
54	0.2874983104
55	0.2867913635
56	0.2854480946
57	0.2844094887
58	0.2832416216
59	0.2823111224
60	0.2815491858
61	0.2808617979
62	0.2795282586
63	0.2786571058
64	0.2706012836
65	0.2697433314
66	0.2690906918
67	0.268257371
68	0.267538012
69	0.2669293318
70	0.2658968075
71	0.2652582497
72	0.2647138912
73	0.2639781322
74	0.2628467636
75	0.2482764087
76	0.2473869679
77	0.2466029488
78	0.2458578679
79	0.2454163059
80	0.2413507356
81	0.2406744225
82	0.2400783286
83	0.2379545346
84	0.2371580187
85	0.2366928899
86	0.236116127
87	0.2355860343
88	0.2348043791
89	0.2341999258
90	0.2335081612
91	0.2329290047
92	0.2325056638
93	0.2318499708
94	0.2313741846
95	0.2309307898
96	0.2304676417
97	0.230015109
98	0.2293035227
99	0.2287486815
100	0.2283820135
101	0.2280332083
102	0.2276561805
103	0.2272017219
104	0.2267272397
105	0.2262427559
106	0.2255285164
107	0.2250066739
108	0.2246128515
109	0.2240445883
110	0.2235435342
111	0.2231306852
112	0.2224920942
113	0.2217611383
114	0.2213142362
115	0.220972989
116	0.2204116457
117	0.220108479
118	0.219740031
119	0.2192513196
120	0.2190264552
121	0.2184521363
122	0.2181438722
