iter	Passed	Remaining
0	1398	1397539
1	2497	1246308
2	3595	1194929
3	4613	1148805
4	5789	1152094
5	7079	1172808
6	8180	1160486
7	9164	1136342
8	10582	1165300
9	11800	1168215
10	12901	1159928
11	14205	1169548
12	15239	1157034
13	16447	1158344
14	17735	1164641
15	18774	1154632
16	19836	1147033
17	20966	1143824
18	22217	1147144
19	23489	1150974
20	24820	1157096
21	25990	1155400
22	27331	1160974
23	28651	1165154
24	29961	1168517
25	31208	1169128
26	32213	1160883
27	33217	1153135
28	34241	1146503
29	35447	1146149
30	36497	1140855
31	37824	1144183
32	39066	1144766
33	40110	1139607
34	41492	1144020
35	42761	1145054
36	44113	1148153
37	45492	1151669
38	46614	1148627
39	47723	1145359
40	48667	1138350
41	49701	1133663
42	50697	1128303
43	51717	1123671
44	52803	1120613
45	53843	1116670
46	54821	1111598
47	55833	1107358
48	56795	1102299
49	57747	1097193
50	58699	1092276
51	59829	1090734
52	61073	1091258
53	62262	1090738
54	63331	1088154
55	64364	1084998
56	65603	1085341
57	66683	1083027
58	67724	1080153
59	68855	1078729
60	69951	1076801
61	70927	1073063
62	72087	1072156
63	73149	1069810
64	74257	1068158
65	75423	1067357
66	76347	1063164
67	77415	1061049
68	78561	1060008
69	79557	1056984
70	80838	1057729
71	81833	1054737
72	82881	1052476
73	83796	1048589
74	84919	1047341
75	86132	1047190
76	87117	1044277
77	88290	1043642
78	89437	1042676
79	90353	1039066
80	91577	1039007
81	92611	1036800
82	93760	1035885
83	95357	1039854
84	96505	1038850
85	97666	1037989
86	98745	1036264
87	100010	1036475
88	101258	1036475
89	102425	1035634
90	103670	1035564
91	104828	1034612
92	105775	1031600
93	107008	1031379
94	108018	1029019
95	109075	1027130
96	110111	1025060
97	111171	1023231
98	112457	1023475
99	113508	1021573
100	114399	1018271
101	115315	1015231
102	116215	1012087
103	117354	1011050
104	118424	1009426
105	119572	1008472
106	120743	1007697
107	121817	1006119
108	122754	1003429
109	123961	1002958
110	125234	1003004
111	126288	1001285
112	127507	1000875
113	128820	1001185
114	129885	999552
115	130971	998095
116	132099	996954
117	133184	995499
118	134138	993076
119	135206	991511
120	136039	988254
121	137307	988160
122	138322	986252
123	139708	986969
124	140776	985435
125	141996	984962
126	142968	982766
127	144178	982214
128	145558	982799
129	146826	982606
130	147758	980165
131	148817	978588
132	149921	977310
133	151292	977755
134	152382	976375
135	153294	973871
136	154405	972641
137	155577	971797
138	156614	970109
139	157630	968302
140	158966	968457
141	160046	967041
142	161153	965795
143	162138	963825
144	163155	962055
145	164078	959749
146	165285	959107
147	166259	957114
148	167104	954403
149	168281	953594
150	169350	952177
151	170454	950958
152	171709	950573
153	172884	949741
154	173901	948043
155	175213	947949
156	176411	947226
157	177469	945753
158	178584	944587
159	179796	943930
160	181083	943660
161	182061	941774
162	183098	940203
163	184525	940628
164	185687	939691
165	186828	938645
166	187911	937308
167	188946	935734
168	189891	933726
169	190907	932078
170	191773	929708
171	192702	927658
172	193838	926613
173	194805	924767
174	195788	923004
175	197093	922757
176	198218	921658
177	199200	919905
178	200215	918308
179	201613	918461
180	202595	916715
181	203500	914634
182	204754	914122
183	205833	912825
184	206851	911264
185	207869	909706
186	208766	907632
187	209935	906744
188	210863	904816
189	212092	904182
190	213179	902945
191	214301	901852
192	215181	899747
193	216221	898320
194	217178	896556
195	218293	895450
196	219600	895123
197	220834	894490
198	221849	892970
199	222933	891735
200	224353	891833
201	225414	890498
202	226380	888795
203	227480	887619
204	228392	885719
205	229413	884243
206	230518	883098
207	231592	881833
208	232734	880829
209	233921	879990
210	235076	879029
211	236024	877298
212	237001	875682
213	238286	875200
214	239309	873756
215	240098	871468
216	241164	870190
217	242245	868973
218	243290	867625
219	244321	866230
220	245381	864943
221	246420	863582
222	247418	862081
223	248302	860189
